Title,Ingredients,Preparation,Benefits,Category
- Udarakarshan) six times each in a dynamic motion. Evacuate bowels when the urge arises. Repeat drinking water and asanas until clear water is evacuated. Rest in Shavasana (do not sleep). First meal after kriya should be khichdi (yellow moong dal and rice with ghee and turmeric). Second meal also khichdi after six hours. For the next two days
- stick to boiled vegetables without spices
- onion
- or garlic
- avoid oil
- fruits
- buttermilk
- lemon water
- and diluted milk. Rest and avoid heavy activity for two days. Health Benefits: Detoxifies the digestive system from mouth to anus
- removes old food particles and impurities
- promoting better overall health. Source: ""How to Cleanse Intestine Naturally at Home with these Asanas | Detox Digestive System| Home Remedies"" Remedy: Turmeric Milk Golden Milk/Haldi Doodh) Ingredients:  cup whole milk (can use almond
- coconut
- oat
- rice
- or soy milk)
- ½ teaspoon turmeric powder
- ¼ teaspoon freshly crushed pepper
- ¼ teaspoon ghee or coconut oil
- optional palm sugar or honey for sweetener. Untitled  Preparation: Add milk to a saucepan and bring to a boil. Add turmeric powder
- crushed pepper
- and ghee or coconut oil. Bring to a boil
- mix
- and simmer for a minute. Switch off the flame. Pour the milk from a height to another pan and back a few times to make it frothy. Pour into a glass or mug and consume warm. If adding honey
- make sure milk is warm
- not hot. Health Benefits: Helps to sleep better at night
- may help break down abdominal fat cells and aid in weight loss
- strengthens bones
- great for cold and cough
- good for sore throat
- boosts immunity
- helps with bloating and gases
- gives a glowing complexion. Pepper helps curcumin absorption
- and ghee/coconut oil lubricates joints and soothes sore throat. Source: ""How To Make Turmeric Milk  Golden Milk Recipe  Haldi Doodh For Quick Weight Loss & To Sleep Better"" Remedy  Head Massage with Brahmi or Jamasi Oil Shiro Abhyanga) Ingredients: Some natural brahmi oil or jamasi oil. Preparation: Take some oil on your fingertip and move them in circular motion along your scalp. Health Benefits: Relaxing practice that helps fall into deep sleep quickly. Remedy  Foot Massage with Sesame Oil Pada Abhyanga) Ingredients: Some sesame oil (gently warmed). Preparation: Apply warm sesame oil on the soles of your feet and rub in a circular motion moving upwards from heel to toes. Wash away after  minutes or cover feet with socks and go to sleep. Health Benefits: Works on nerve centers of the feet
- helps release stress and relax
- promoting better sleep. Remedy  Shankhpushpi Tea Ingredients: Shankhpushpi flowers or ¼ teaspoon of Shankhpushpi flour powder
- a cup of water
- a few drops of lemon juice (optional). Preparation: Gently boil Shankhpushpi flowers in a cup of water until the water turns blue-violet. Strain and pour into a cup. Add a few drops of lemon juice (optional) and sip warm. If using powder
- add powder to a Untitled  glass of hot water
- cover for half an hour
- strain
- add lemon juice
- and drink warm at night. Health Benefits: Has antioxidants and flavonoids which helps in bringing calmness and reducing stress
- promoting better sleep. Remedy  Ashwagandha and Warm Cow Milk Ingredients: A spoonful of ashwagandha churna
- a cup of warm cow milk. Preparation: Mix ashwagandha churna in warm cow milk and drink before going to sleep. Health Benefits: Promotes undisturbed and wonderful sleep. Remedy  Raisins and Water Ingredients:  to  raisins
- water. Preparation: Soak raisins in water around  to  p.m. In the evening. Consume these raisins along with the water right before going to sleep. Health Benefits: Helps to fall into a calm
- undisturbed sleep at night. Source: ""How To Get Good Sleep | Get Deep & Relaxing Sleep Naturally | Ayurvedic Tips  Say No To Pills"" Remedy  Tomato Juice and Lemon Juice Ingredients: One teaspoonful of tomato juice
- one teaspoonful of lemon juice. Preparation: Mix equal quantities of tomato juice and lemon juice. Apply with a soft cotton place around your eyes
- leave for  minutes
- and rinse with cool water. Health Benefits: Tomato has strong bleaching properties
- and lemon is rich in Vitamin C
- both help lighten dark circles. Remedy  Cold Milk Ingredients: Cold milk. Preparation: Dip cotton pads in cold milk and place them over your eyes for  minutes. Remove and rinse with water. Untitled  Health Benefits: Has a soothing effect
- rich in Vitamin A
- helps brighten skin and make it soft
- reducing dark circles. Remedy  Almond Oil Massage Ingredients: Almond oil. Preparation: Gently massage almond oil around your eyes before going to bed. Leave it overnight and wash off in the morning. Health Benefits: Rich in Vitamin E
- moisturizes and helps reduce dark circles. Remedy  Potato Slices or Juice Ingredients: Potato. Preparation: Place potato slices around your eyes for  minutes. Alternatively
- apply potato juice around the eyes. Wash with cool water. Health Benefits: Natural bleaching agent
- helps lighten dark circles. Remedy  Cucumber Slices or Juice Ingredients: Cucumber. Preparation: Place cucumber slices around your eyes for  minutes. Alternatively
- apply cucumber juice around the eyes. Wash with cool water. Health Benefits: Cooling and relaxing
- helps remove darkness and puffiness. Source: ""Home remedies for removing dark circles"" Remedy  Warm Oil Application Bhringraj
- Neem
- Fenugreek) Ingredients: Bhringraj oil
- neem oil
- or fenugreek oil. Preparation: Apply warm oil to the scalp and wash it with shampoo after leaving for a couple of hours. Health Benefits: These oils are traditionally used to cure dandruff. Remedy  Amla Powder and Tulsi Leaves Hair Mask Ingredients:  tbsp full of amla powder
- spoons of ground tulsi leaves
- water. Untitled  Preparation: Mix amla powder and ground tulsi leaves with water to make a hair mask. Apply it to the scalp and keep it for half an hour. Wash it out with a mild shampoo. Health Benefits: Amla Vitamin C and antibacterial) helps remove dandruff. Tulsi has medicinal properties that benefit the scalp. Remedy  Aloe Vera Gel and Castor Oil Hair Treatment Ingredients: About one cup of aloe vera gel
- tbsp full of castor oil. Preparation: Apply this to your scalp and leave it overnight or  hours before your hair wash. Repeat once a week. Health Benefits: Soothing effect of aloe vera relieves itchiness of the scalp. Castor oil may have moisturizing and hair growth-promoting properties. Remedy  Coconut Oil with Lemon Juice Hair Treatment Ingredients:  tablespoon full of coconut oil (warmed up)
- tablespoon full of lemon juice. Preparation: Warm coconut oil and add lemon juice. Apply this oil to your scalp properly. Can apply in the evening and leave overnight
- or apply two hours before hair wash. Follow regularly once a week. Health Benefits: Coconut oil's hydrating property reduces dryness and combats itchy scalp. Lemon juice Vitamin C
- citric acid
- zinc) fights dandruff due to its antifungal and antioxidant properties. Remedy  Methi Fenugreek) Seed and Curd Hair Mask with Triphala Churna Ingredients: Methi (fenugreek) seeds (soaked overnight and ground into a paste)
- curd
- one teaspoon full of triphala churna. Preparation: Soak methi seeds overnight and grind them into a paste. Add this paste with curd and triphala churna. Apply this mask to your scalp and leave it for one hour. Later
- wash it with a mild shampoo. Health Benefits: Methi removes white flakes. Triphala and curd have beneficial properties for the scalp. Untitled  Remedy  Neem Leaves and Curd Hair Mask Ingredients: Water boiled with neem leaves
- curd
- additional neem leaves (optional). Preparation: Wash hair with water boiled with neem leaves. Add neem leaves with curd and apply that on the scalp. Allow it to remain for  minutes
- then wash hair with warm water. Health Benefits: Neem (antifungal
- antibacterial
- antiseptic) detoxifies the scalp and reduces itching and irritation. Curd may provide moisturizing benefits. Source: ""Home Treatments for Dandruff | How to Treat Dandruff at Home | Hair Care Tips | Home Remedies"" Remedy  Neem Powder Paste Ingredients: Two to three spoons of neem powder
- water. Preparation: Mix neem powder with water to make a paste. Apply the paste to your scalp and hair
- ensuring all affected areas are covered. Leave it on for  minutes before rinsing it off with cool water. Repeat once a week. Health Benefits: Neem (antifungal
- antibacterial
- anti-inflammatory) detoxifies the scalp and reduces itching. Remedy  Neem Oil and Coconut Oil Massage Ingredients: One to two teaspoons of neem oil
- two to three teaspoons of coconut oil. Preparation: Mix neem oil with coconut oil. Apply the mixture to your scalp and massage. Leave it on for  minutes before rinsing it off with a mild shampoo and cool water. Repeat once a week. Health Benefits: Neem (antifungal
- antibacterial
- anti-inflammatory) detoxifies the scalp and reduces itching. Coconut oil provides a carrier and may offer additional moisturizing benefits. Remedy  Neem Leaf Hair Rinse Ingredients: A handful of fresh neem leaves
- two cups of water. Untitled  Preparation: Wash neem leaves thoroughly. Boil the leaves in two cups of water for  minutes until green. Strain the liquid and allow it to cool. Use it as a hair rinse
- leave it on for  to  minutes before rinsing off with cold water. Repeat two to three times a week. Health Benefits: Neem (antifungal
- antibacterial
- anti-inflammatory) detoxifies the scalp and reduces itching. Source: ""Home Treatments for Dandruff Using NEEM | DIY | Hair Care Tips | Dr. Hansaji Yogendra"" Remedy  Chickpea Flour and Sandalwood Powder Cleanser General Skin Care) Ingredients: Half teaspoon chickpea (besan) flour
- teaspoon sandalwood powder. Preparation: Mix chickpea flour and sandalwood powder with a little water just before washing your face daily. Health Benefits: Gentle cleanser for the skin. Remedy  Neem Powder and Honey Face Mask (for Kapha Dosha/Oily Skin) Ingredients: Half teaspoon neem powder
